OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,26,2010,פסוטה אלקוש נטועה מתת אבירים,מגורים,4154,45645619,מגורים,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0.569605597449122,202110,44108.842697483043594,45645618.857041485607624
-1,3,961,פארק אריאל שרון,שטח פתוח,0,1747334,פנאי/טבע/ספורט,0,3,0,1,0,0,0,1,0,1,2,1,1,0,0,2,1.716901634995801,202110,5952.028743393887453,1747333.649669065838680
-1,2,1628,ביה""ח אל-אהלי,לא ידוע,0,5664350,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,0,0,1,2,0.353085537172101,202110,12895.659606548160809,5664349.823043471202254
-1,12,2333,מרחביה (קיבוץ) מרחביה (מושב) סולם,מגורים,4461,17808220,מגורים,0,1,1,2,1,0,1,3,0,4,2,0,0,0,1,2,0.673846136015286,202110,23567.164533215924166,17808219.649311434477568
-1,9,579,רחובות,מגורים,7926,468797,מגורים,8400,1,0,0,1,0,0,1,0,1,2,1,0,0,1,2,19.198069202538882,202110,2786.267443698008719,468797.143350737518631
-1,22,1221,ירושלים,שטח פתוח,0,814998,פנאי/טבע/ספורט,3000,3,0,5,3,0,5,3,0,8,2,0,0,0,1,2,26.993916942001835,202110,5288.666934007470445,814998.432693869923241
-1,54,2577,מפעלי צומת מלאכי,תעשיה,0,1332767,תעשיה/מסחר/מתקנים,0,4,0,0,2,0,0,2,0,2,2,0,0,0,2,2,40.517200850060568,202110,5550.914441690916647,1332767.290609101299196
-1,7,172,רמת השרון,תעשיה,0,411266,תעשיה/מסחר/מתקנים,2650,4,0,0,1,0,0,1,0,1,1,0,0,0,1,1,17.020596760835179,202110,3016.272316728075111,411266.426104822370689
-1,25,1863,פוריידיס,מגורים,3722,860298,מגורים,537,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,29.059704136728136,202110,4900.130890056983844,860297.815916262799874
-1,9,814,קריית עקרון,מגורים,4656,324482,מגורים,469,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,27.736546806704190,202110,3125.017409042815416,324481.632941582123749
-1,26,2426,באר שבע,מגורים,3512,395787,מגורים,9000,1,0,0,2,0,0,2,0,2,2,0,0,0,2,2,65.691960350456242,202110,2790.269367722329207,395786.636009857291356
-1,16,1440,בסיס שדות מיכה,בסיס צבאי,0,46822425,מוסדי/ציבורי,0,2,0,0,5,0,0,5,0,5,2,0,0,0,1,2,0.341716601772484,202110,37221.919996267410170,46822425.123649217188358
-1,83,407,פתח תקווה,תעשיה,0,1161177,תעשיה/מסחר/מתקנים,7900,4,0,0,1,1,0,1,0,1,1,0,0,0,1,1,71.479219331708649,202110,4929.175130518992773,1161176.643729524454102
-1,12,1058,ירושלים,מגורים,4407,215034,מגורים,3000,1,0,0,2,2,2,0,0,2,1,0,0,0,1,1,55.805142001994163,202110,2217.069382097850394,215033.947939263132866
